CASEID,COMPWT,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID
22596,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,4,1,0,    0,1,14,  0,8,1,0,    0
22597,1.59000000000000008e+00, 1,14,  0,1, 1,18,  0,1,1,18,  0,4,1,0,    0,1,18,  0,7,1,0,    0
22598,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,8,1,0,    0,1,14,  0,8,1,0,    0
22599,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,2,1,0,    0,1,14,  0,7,1,0,    0
22600,1.06000000000000005e+00, 1,18,  0,1, 1,18,  0,1,1,18,  0,6,1,0,    0,1,18,  0,6,1,0,    0
22601,1.59000000000000008e+00, 1,60, 68,1, 1,10,  0,1,1,10,  0,2,1,0,    0,1,10,  0,7,1,0,    0
22602,2.12999999999999989e+00, 1,10,  0,1, 1,10,  0,1,1,10,  0,4,1,0,    0,1,10,  0,7,1,0,    0
22603,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,0, 0,  0, ,0,0,    0,1,14,  0,0,1,0,    0
22604,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,7,1,0,    0,1,14,  0,7,1,0,    0
22605,1.59000000000000008e+00, 4, 0,  0,3, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,5,2,0,    0
22606,5.30000000000000027e-01, 1,60, 12,1, 1,22,  0,3,0, 0,  0, ,0,0,    0,1,22,  0,9,3,0,    0
22607,1.06000000000000005e+00, 1,10,  0,1, 1,10,  0,1,1,10,  0,7,1,0,    0,1,10,  0,7,1,0,    0
22608,1.06000000000000005e+00, 1,10,  0,1, 1,10,  0,1,0, 0,  0, ,0,0,    0,1,10,  0,7,1,0,    0
22609,5.30000000000000027e-01, 1,14,  0,1, 1,14,  0,1,0, 0,  0, ,0,0,    0,1,14,  0,7,1,0,    0
22610,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,5,2,0,    0
22611,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,3,2,0,    0,1,14,  0,3,1,0,    0
22612,1.06000000000000005e+00, 5, 0,  0,9, 5, 0,  0,9,5, 0,  0,5,9,0,    0,5, 0,  0,5,9,0,    0
22613,1.59000000000000008e+00, 2, 0,  0,2, 2, 0,  0,2,4, 0,  0,0,3,0,    0,2, 0,  0,2,2,0,    0
22614,1.59000000000000008e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,4,2,0,    0,2, 0,  0,4,2,0,    0
22615,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,3,2,0,    0,2, 0,  0,8,2,0,    0
22616,1.06000000000000005e+00, 1,40,  0,2, 2, 0,  0,2,2, 0,  0,3,2,0,    0,2, 0,  0,3,2,0,    0
22617,1.59000000000000008e+00, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,8,2,0,    0
22618,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,8,2,0,    0,2, 0,  0,8,2,0,    0
22619,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,4,2,0,    0,2, 0,  0,8,2,0,    0
22620,2.12999999999999989e+00, 1,15,  0,1, 1,60, 40,3,1,60, 40,3,3,0,    0,1,60, 40,6,3,0,    0
22621,1.06000000000000005e+00, 4, 0,  0,3, 1,22,  0,3,1,22,  0,6,3,0,    0,1,22,  0,7,3,0,    0
22622,5.30000000000000027e-01, 1,60, 58,1, 1,70,  0,2,4, 0,  0,0,3,0,    0,1,70,  0,7,2,0,    0
22623,5.30000000000000027e-01, 1,14,  0,1, 1,14,  0,1,1,14,  0,0,1,0,    0,1,14,  0,3,1,0,    0
22624,5.30000000000000027e-01, 1,99,999,9, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,8,3,0,    0
22625,5.30000000000000027e-01, 1,60, 36,1, 1,41,  0,3,1,70,  0,0,2,0,    0,1,70,  0,0,2,0,    0
22626,5.30000000000000027e-01, 1,18,  0,1, 1,48,  0,3,1,60,111,9,1,0,    0,1,48,  0,9,3,0,    0
22627,5.30000000000000027e-01, 1,48,  0,3, 1,28,  0,3,1,70,  0,0,2,0,    0,1,28,  0,0,3,0,    0
22628,5.30000000000000027e-01, 1,48,  0,3, 1,48,  0,3,4, 0,  0,9,3,0,    0,1,48,  0,9,3,0,    0
22629,5.30000000000000027e-01, 1,48,  0,3, 1,48,  0,3,1,48,  0,7,3,0,    0,1,60, 45,7,1,0,    0
22630,5.30000000000000027e-01, 1,38,  0,2, 1,38,  0,2,1,38,  0,7,2,0,    0,1,38,  0,7,2,0,    0
22631,1.06000000000000005e+00, 1,22,  0,3, 1,14,  0,1,1,14,  0,0,1,0,    0,2, 0,  0,7,2,0,    0
22632,5.30000000000000027e-01, 1,60, 35,1, 1,60, 35,1,4, 0,  0,1,3,0,    0,0, 0,  0, ,0,0,    0
22633,1.06000000000000005e+00, 4, 0,  0,3, 1,28,  0,3,1,28,  0,2,3,0,    0,1,28,  0,8,3,0,    0
22634,1.06000000000000005e+00, 1,50,  0,3, 1,50,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0
22635,1.59000000000000008e+00, 1,22,  0,3, 1,22,  0,3,1,22,  0,4,3,0,    0,0, 0,  0, ,0,0,    0
22636,1.06000000000000005e+00, 1,50,  0,3, 1,22,  0,3,1,22,  0,2,3,0,    0,1,22,  0,7,3,0,    0
22637,1.06000000000000005e+00, 1,10,  0,1, 1,10,  0,1,1,10,  0,7,1,0,    0,1,28,  0,7,3,0,    0
22638,1.06000000000000005e+00, 1,12,  0,1, 1,20,  0,2,1,20,  0,7,2,0,    0,1,20,  0,7,2,0,    0
22639,1.06000000000000005e+00, 1,48,  0,3, 1,48,  0,3,1,48,  0,4,3,0,    0,1,48,  0,4,3,0,    0
22640,1.06000000000000005e+00, 1,13,  0,1, 1,13,  0,1,1,13,  0,2,1,0,    0,1,13,  0,2,1,0,    0
22641,1.59000000000000008e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,6,1,0,    0,1,14,  0,6,1,0,    0
22642,5.30000000000000027e-01, 1,60, 68,1, 1,60, 68,1,1,60, 68,8,1,0,    0,1,60, 68,8,1,0,    0
22643,1.06000000000000005e+00, 1,28,  0,3, 1,28,  0,3,0, 0,  0, ,0,0,    0,1,28,  0,7,3,0,    0
22644,5.30000000000000027e-01, 1,60, 65,1, 4, 0,  0,3,4, 0,  0,0,3,0,    0,4, 0,  0,0,3,0,    0
22645,5.30000000000000027e-01, 1,60, 54,3, 1,60, 54,3,1,60, 54,8,3,0,    0,1,60, 54,8,3,0,    0
22646,1.06000000000000005e+00, 1,23,  0,1, 1,23,  0,1,0, 0,  0, ,0,0,    0,1,23,  0,7,1,0,    0
22647,1.06000000000000005e+00, 1,60, 65,1, 1,60, 20,2,1,60, 20,7,2,0,    0,1,60, 20,7,2,0,    0
22648,1.06000000000000005e+00, 1,22,  0,3, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,7,3,0,    0
