CASEID,YEAR,VERSION,COMPWT,SEX,AGE,RACE,SRCBELT,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,WEBTV,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
38176,2000,6,1.10000000000000009e+00,2,21,1,2, 1, 1,70,0,0,0,0, 0,15,33.1,98,98,0,1,0,0,  0, 0,1,  0,30
38177,2000,2,1.10000000000000009e+00,2,26,1,2, 1, 1,22,0,0,0,0, 0,17,78.5,11, 9,0,2,0,2, -1,-1,0, -1,-1
38178,2000,3,1.10000000000000009e+00,2,31,3,2,11, 2, 0,0,0,0,0, 0,20,78.5,12,12,0,0,0,0, -1,-1,0, -1,-1
38179,2000,1,1.10000000000000009e+00,2,27,2,2, 1, 1,11,0,0,0,0, 0,16,78.5,12,12,0,1,0,0,  0, 0,1,  0, 0
38180,2000,4,5.50000000000000044e-01,2,78,1,5, 1, 1,14,0,0,0,0, 0,10,17.1, 8, 0,0,2,0,2, -1,-1,0, -1,-1
38181,2000,6,5.50000000000000044e-01,2,29,1,5, 4, 4, 0,0,0,0,0, 0, 8,22.9, 9, 9,0,2,0,2, -1,-1,0, -1,-1
38182,2000,5,1.64999999999999991e+00,1,43,2,5, 4, 1,99,0,0,0,0, 0,12,38.9,12, 0,0,1,0,0,  0, 0,2, -1,-1
38183,2000,3,5.50000000000000044e-01,2,61,1,5, 2, 2, 0,0,0,0,0, 0,14,85.1,12,12,0,0,0,0, -1,-1,0, -1,-1
38184,2000,4,1.10000000000000009e+00,2,33,1,5, 1, 2, 0,0,0,0,0, 0, 7,-1.0,12, 0,0,1,0,0,  0, 0,1,  2, 0
38185,2000,3,5.50000000000000044e-01,2,34,2,1, 1, 1,13,0,0,0,0, 0,12,29.2,10,10,0,0,0,0, -1,-1,0, -1,-1
38186,2000,2,5.50000000000000044e-01,2,89,1,1, 1, 1,30,0,0,0,0, 0,10,29.3, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38187,2000,5,5.50000000000000044e-01,2,83,2,1, 1, 1,22,0,0,0,0, 0,10,22.5, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38188,2000,4,5.50000000000000044e-01,2,78,2,1, 5, 1,14,0,0,0,0, 0, 7,32.0, 2, 0,0,2,0,2, -1,-1,0, -1,-1
38189,2000,1,5.50000000000000044e-01,2,89,2,1, 1, 1,18,0,0,0,0, 0,12,36.5, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38190,2000,6,5.50000000000000044e-01,2,84,2,1, 1, 1,12,0,0,0,0, 0,12,27.5, 5, 0,0,2,0,2, -1,-1,0, -1,-1
38191,2000,2,5.50000000000000044e-01,2,69,2,1, 1, 1,12,0,0,0,0, 0, 4,-1.0,13, 0,0,2,0,2, -1,-1,0, -1,-1
38192,2000,5,5.50000000000000044e-01,2,32,2,1, 1, 4, 0,0,0,0,0, 0,11,22.9, 9, 9,0,2,0,2, -1,-1,0, -1,-1
38193,2000,6,1.10000000000000009e+00,2,76,2,1, 1, 1,14,0,0,0,0, 0, 9,21.2,13, 0,0,9,0,9,999,99,9,999,99
38194,2000,1,5.50000000000000044e-01,2,41,2,1, 1, 1,12,0,0,0,0, 0,13,33.1, 7, 0,0,1,0,0,  0, 0,1,  1, 0
38195,2000,5,1.10000000000000009e+00,1,32,2,1, 2, 2, 0,0,0,0,0, 0,19,78.5,12,12,0,1,0,0,  0, 0,2, -1,-1
38196,2000,4,1.10000000000000009e+00,2,29,2,1, 1, 1,18,0,0,0,0, 0,18,78.5,12,12,0,1,0,0,  0, 0,2, -1,-1
38197,2000,2,1.10000000000000009e+00,2,40,2,1, 1, 1,13,0,0,0,0, 0,13,29.3,13,12,0,1,0,0,  0, 0,2, -1,-1
38198,2000,3,1.64999999999999991e+00,2,44,1,1, 1, 1,32,0,0,0,0, 0,14,56.6,12, 3,0,0,0,0, -1,-1,0, -1,-1
38199,2000,2,5.50000000000000044e-01,2,70,2,1, 2, 1,14,0,0,0,0, 0,19,78.5,12, 0,0,2,0,2, -1,-1,0, -1,-1
38200,2000,5,1.10000000000000009e+00,1,40,2,1, 1, 1,14,0,0,0,0, 0,15,73.2,98,13,0,1,0,0,  0, 0,1,  0,20
38201,2000,6,1.10000000000000009e+00,2,51,2,1, 1, 1,18,0,0,0,0, 0,13,74.4,12, 3,0,1,0,0,  0, 0,2, -1,-1
38202,2000,1,5.50000000000000044e-01,1,75,1,1, 1, 1,10,0,0,0,0, 0,13,27.7, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38203,2000,1,1.10000000000000009e+00,1,22,2,1, 1, 1,14,0,0,0,0, 0,12,26.7,12,11,0,2,0,2, -1,-1,0, -1,-1
38204,2000,4,5.50000000000000044e-01,2,53,2,1, 1, 1,18,0,0,0,0, 0,16,57.1,12,12,0,1,0,0,  3, 0,1,  2, 0
38205,2000,1,1.10000000000000009e+00,1,20,1,3, 2, 2, 0,0,0,0,0, 0,12,34.7,12, 9,0,1,0,0,  0, 0,1,  1, 0
38206,2000,1,1.10000000000000009e+00,2,80,1,3, 2, 2, 0,0,0,0,0, 0,12,26.4,11, 0,0,2,0,2, -1,-1,0, -1,-1
38207,2000,6,5.50000000000000044e-01,1,70,1,3, 2, 2, 0,0,0,0,0, 0,13,73.6,10,13,0,2,0,2, -1,-1,0, -1,-1
38208,2000,5,1.10000000000000009e+00,1,45,1,5, 2, 2, 0,0,0,0,0, 0,14,44.7,12,12,0,2,0,2, -1,-1,0, -1,-1
38209,2000,5,1.10000000000000009e+00,2,46,1,5,13, 2, 0,0,0,0,0, 0,99,32.0,12,12,0,1,0,0,  0, 0,1,  0, 3
38210,2000,2,1.64999999999999991e+00,1,24,1,5, 2, 2, 0,0,0,0,0, 0,16,31.5,12,10,0,1,0,0,  0, 1,1,  1, 0
38211,2000,3,1.10000000000000009e+00,1,51,1,5, 2, 2, 0,0,0,0,0, 0,13,37.3,12,11,0,0,0,0, -1,-1,0, -1,-1
38212,2000,2,1.10000000000000009e+00,1,32,1,5, 2, 2, 0,0,0,0,0, 0,14,39.0,12,12,0,1,0,0,  0,30,1,  5, 0
38213,2000,1,1.10000000000000009e+00,2,53,1,5, 2, 1,32,0,0,0,0, 0,12,26.7,13,13,0,2,0,2, -1,-1,0, -1,-1
38214,2000,3,2.20000000000000018e+00,2,52,1,3, 4, 1,22,0,0,0,0, 0,18,75.9,12, 1,0,0,0,0, -1,-1,0, -1,-1
38215,2000,3,5.50000000000000044e-01,1,83,1,3, 4, 1,28,0,0,0,0, 0,16,63.5,12, 0,0,0,0,0, -1,-1,0, -1,-1
38216,2000,4,5.50000000000000044e-01,1,39,1,3, 4, 2, 0,0,0,0,0, 0,19,83.7,13,13,0,1,0,0, 15, 0,1,  5, 0
38217,2000,5,1.10000000000000009e+00,1,47,1,3, 1, 2, 0,0,0,0,0, 0,19,78.5,13,13,0,1,0,0,  2, 0,1, 30, 0
38218,2000,6,1.10000000000000009e+00,1,45,1,3, 2, 2, 0,0,0,0,0, 0,16,92.8,12,12,0,1,0,0,  1, 0,1,  5, 0
38219,2000,1,1.10000000000000009e+00,2,48,1,3, 4, 2, 0,0,0,0,0, 0,16,-1.0,12, 0,0,2,0,2, -1,-1,0, -1,-1
38220,2000,6,1.10000000000000009e+00,1,50,3,3, 7, 7, 0,0,0,0,0, 0,16,78.0,12,12,0,1,0,0,  0, 0,1,  5, 0
38221,2000,3,5.50000000000000044e-01,1,78,1,3, 1, 1,22,0,0,0,0, 0,13,61.9,12, 0,0,0,0,0, -1,-1,0, -1,-1
38222,2000,1,1.64999999999999991e+00,2,45,1,3, 3, 1,32,0,0,0,0, 0,17,63.5,98, 0,0,1,0,0,  0,30,1,  0,10
38223,2000,2,5.50000000000000044e-01,1,56,1,3, 3, 3, 0,0,0,0,0, 0,16,76.4,13,13,0,2,0,2, -1,-1,0, -1,-1
38224,2000,5,5.50000000000000044e-01,2,47,1,3, 3, 3, 0,0,0,0,0, 0,16,76.4,12,12,0,1,0,0,  3, 0,1,  3, 0
38225,2000,4,1.10000000000000009e+00,1,72,1,3, 3, 3, 0,0,0,0,0, 0,16,44.7,12,12,0,1,0,0, 10, 0,1,  6, 0
38226,2000,4,5.50000000000000044e-01,2,29,3,1, 1, 2, 0,0,0,0,0, 0,15,73.6,13, 9,0,1,0,0, 40, 0,1, 10, 0
38227,2000,6,1.10000000000000009e+00,1,26,1,1, 4, 4, 0,0,0,0,0, 0,16,76.4,12,11,0,1,0,0,  7, 0,1,  2, 0
38228,2000,1,1.10000000000000009e+00,1,52,2,1, 4, 4, 0,0,0,0,0, 0,12,37.3,13,13,0,1,0,0,  0,10,2, -1,-1
38229,2000,4,5.50000000000000044e-01,1,39,3,1,12,12, 0,0,0,0,0, 0,16,73.7,12,13,0,1,0,0,  0,40,1,  1, 0
38230,2000,2,1.10000000000000009e+00,2,30,3,1, 4, 1,18,0,0,0,0, 0,16,53.7,12,12,0,1,0,0,  0, 0,1,  0,30
38231,2000,2,5.50000000000000044e-01,2,48,2,1, 4, 1,18,0,0,0,0, 0, 9,36.5,12,12,0,2,0,2, -1,-1,0, -1,-1
38232,2000,3,5.50000000000000044e-01,2,62,2,1, 1, 1,50,0,0,0,0, 0,13,50.7,12,12,0,0,0,0, -1,-1,0, -1,-1
38233,2000,2,1.10000000000000009e+00,2,57,1,1, 5, 1,48,0,0,0,0, 0,12,63.5,12,12,0,1,0,0,  0,30,2, -1,-1
38234,2000,5,5.50000000000000044e-01,1,60,1,1, 2, 2, 0,0,0,0,0, 0, 8,31.5,11, 0,0,2,0,2, -1,-1,0, -1,-1
